
,,,,Measures,"Number of collisions","Number of injured","Number of fatalities"
"Month","Year","Road Class I","Speed limit","Pedestrians",
"January","2010","Urban","Less than 40 km per hour","Collisions with 0 pedestrians",43,61,1
"January","2010","Urban","Less than 40 km per hour","Collisions with 1 pedestrian",30,31,0
"January","2010","Urban","Less than 40 km per hour","Collisions with 2 pedestrians",4,7,0
"January","2010","Urban","Less than 40 km per hour","Collisions with 3 or more pedestrians",1,4,0
"January","2010","Urban","40 km per hour","Collisions with 0 pedestrians",159,219,1
"January","2010","Urban","40 km per hour","Collisions with 1 pedestrian",56,57,0
"January","2010","Urban","40 km per hour","Collisions with 2 pedestrians",3,4,1
"January","2010","Urban","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2010","Urban","50 km per hour","Collisions with 0 pedestrians",2905,4061,8
"January","2010","Urban","50 km per hour","Collisions with 1 pedestrian",595,587,20
"January","2010","Urban","50 km per hour","Collisions with 2 pedestrians",51,76,1
"January","2010","Urban","50 km per hour","Collisions with 3 or more pedestrians",11,22,0
"January","2010","Urban","60 km per hour","Collisions with 0 pedestrians",849,1318,6
"January","2010","Urban","60 km per hour","Collisions with 1 pedestrian",105,105,3
"January","2010","Urban","60 km per hour","Collisions with 2 pedestrians",6,11,0
"January","2010","Urban","60 km per hour","Collisions with 3 or more pedestrians",2,4,0
"January","2010","Urban","70 km per hour","Collisions with 0 pedestrians",183,277,3
"January","2010","Urban","70 km per hour","Collisions with 1 pedestrian",3,3,0
"January","2010","Urban","70 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2010","Urban","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2010","Urban","80 km per hour","Collisions with 0 pedestrians",73,99,3
"January","2010","Urban","80 km per hour","Collisions with 1 pedestrian",2,2,0
"January","2010","Urban","80 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2010","Urban","80 km per hour","Collisions with 3 or more pedestrians",1,1,0
"January","2010","Urban","90 km per hour","Collisions with 0 pedestrians",83,126,5
"January","2010","Urban","90 km per hour","Collisions with 1 pedestrian",2,3,1
"January","2010","Urban","90 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2010","Urban","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2010","Urban","100 km per hour","Collisions with 0 pedestrians",87,109,0
"January","2010","Urban","100 km per hour","Collisions with 1 pedestrian",1,1,0
"January","2010","Urban","100 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2010","Urban","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2010","Urban","110 km per hour","Collisions with 0 pedestrians",8,9,0
"January","2010","Urban","110 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2010","Urban","110 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2010","Urban","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2010","Urban","Unknown","Collisions with 0 pedestrians",418,534,2
"January","2010","Urban","Unknown","Collisions with 1 pedestrian",103,104,0
"January","2010","Urban","Unknown","Collisions with 2 pedestrians",38,40,0
