
,,,,Measures,"Number of collisions","Number of vehicles","Number of injured","Number of fatalities"
"Month","Year","Day of Week","Collision Hour","Collision Sev",
"January","2010","Total","Midnight to 2:59","Fatal collisions",14,17,6,14
"January","2010","Total","Midnight to 2:59","Injury collisions",390,557,580,0
"January","2010","Total","3:00 to 5:59","Fatal collisions",9,14,12,9
"January","2010","Total","3:00 to 5:59","Injury collisions",349,511,461,0
"January","2010","Total","6:00 to 8:59","Fatal collisions",26,40,12,30
"January","2010","Total","6:00 to 8:59","Injury collisions",1216,2106,1513,0
"January","2010","Total","9:00 to 11:59","Fatal collisions",17,27,11,19
"January","2010","Total","9:00 to 11:59","Injury collisions",1414,2482,1821,0
"January","2010","Total","12:00 to 14:59","Fatal collisions",19,34,37,19
"January","2010","Total","12:00 to 14:59","Injury collisions",1716,3164,2343,0
"January","2010","Total","15:00 to 17:59","Fatal collisions",16,27,17,17
"January","2010","Total","15:00 to 17:59","Injury collisions",2183,4080,2996,0
"January","2010","Total","18:00 to 20:59","Fatal collisions",29,47,23,30
"January","2010","Total","18:00 to 20:59","Injury collisions",1424,2463,2035,0
"January","2010","Total","21:00 to 23:59","Fatal collisions",16,24,13,19
"January","2010","Total","21:00 to 23:59","Injury collisions",736,1182,1135,0
"January","2010","Monday","Midnight to 2:59","Fatal collisions",1,2,2,1
"January","2010","Monday","Midnight to 2:59","Injury collisions",24,35,33,0
"January","2010","Monday","3:00 to 5:59","Fatal collisions",2,4,4,2
"January","2010","Monday","3:00 to 5:59","Injury collisions",36,62,45,0
"January","2010","Monday","6:00 to 8:59","Fatal collisions",3,4,1,3
"January","2010","Monday","6:00 to 8:59","Injury collisions",205,361,260,0
"January","2010","Monday","9:00 to 11:59","Fatal collisions",2,3,1,2
"January","2010","Monday","9:00 to 11:59","Injury collisions",203,343,268,0
"January","2010","Monday","12:00 to 14:59","Fatal collisions",1,1,0,1
"January","2010","Monday","12:00 to 14:59","Injury collisions",204,362,273,0
"January","2010","Monday","15:00 to 17:59","Fatal collisions",1,1,0,1
"January","2010","Monday","15:00 to 17:59","Injury collisions",286,518,377,0
"January","2010","Monday","18:00 to 20:59","Fatal collisions",3,4,1,3
"January","2010","Monday","18:00 to 20:59","Injury collisions",192,310,246,0
