
,,,Measures,"Number of collisions","Number of injured","Number of fatalities"
"Month","Year","Road Surface","Weather",
"January","2010","Dry, normal","Clear and sunny",2954,4102,50
"January","2010","Dry, normal","Overcast, cloudy but no precipitation",352,485,9
"January","2010","Dry, normal","Raining",9,10,0
"January","2010","Dry, normal","Snowing, not including drifting snow",6,6,1
"January","2010","Dry, normal","Freezing rain, sleet, hail",1,1,0
"January","2010","Dry, normal","Visibility limitation",12,14,0
"January","2010","Dry, normal","Strong wind",12,18,0
"January","2010","Dry, normal","Other",4,5,0
"January","2010","Dry, normal","Unknown",3,6,0
"January","2010","Wet","Clear and sunny",1029,1458,19
"January","2010","Wet","Overcast, cloudy but no precipitation",528,695,7
"January","2010","Wet","Raining",571,758,8
"January","2010","Wet","Snowing, not including drifting snow",178,244,4
"January","2010","Wet","Freezing rain, sleet, hail",9,14,0
"January","2010","Wet","Visibility limitation",40,56,2
"January","2010","Wet","Strong wind",7,10,0
"January","2010","Wet","Other",7,7,0
"January","2010","Wet","Unknown",4,4,0
"January","2010","Snow (fresh, loose snow)","Clear and sunny",342,428,2
"January","2010","Snow (fresh, loose snow)","Overcast, cloudy but no precipitation",199,279,7
"January","2010","Snow (fresh, loose snow)","Raining",11,18,0
"January","2010","Snow (fresh, loose snow)","Snowing, not including drifting snow",675,928,5
"January","2010","Snow (fresh, loose snow)","Freezing rain, sleet, hail",1,2,0
"January","2010","Snow (fresh, loose snow)","Visibility limitation",84,114,1
"January","2010","Snow (fresh, loose snow)","Strong wind",12,15,0
"January","2010","Snow (fresh, loose snow)","Other",1,1,0
"January","2010","Snow (fresh, loose snow)","Unknown",5,9,0
"January","2010","Slush, wet snow","Clear and sunny",86,126,1
"January","2010","Slush, wet snow","Overcast, cloudy but no precipitation",26,28,0
"January","2010","Slush, wet snow","Raining",6,5,1
"January","2010","Slush, wet snow","Snowing, not including drifting snow",121,166,3
"January","2010","Slush, wet snow","Freezing rain, sleet, hail",8,10,0
"January","2010","Slush, wet snow","Visibility limitation",6,7,0
"January","2010","Slush, wet snow","Strong wind",1,1,0
"January","2010","Slush, wet snow","Other",0,0,0
"January","2010","Slush, wet snow","Unknown",0,0,0
"January","2010","Icy","Clear and sunny",612,808,8
"January","2010","Icy","Overcast, cloudy but no precipitation",228,301,3
"January","2010","Icy","Raining",68,88,1
"January","2010","Icy","Snowing, not including drifting snow",289,396,3
"January","2010","Icy","Freezing rain, sleet, hail",94,117,3
"January","2010","Icy","Visibility limitation",86,115,2
"January","2010","Icy","Strong wind",23,28,0
"January","2010","Icy","Other",4,4,1
"January","2010","Icy","Unknown",18,21,0
"January","2010","Sand/gravel/dirt","Clear and sunny",11,14,0
"January","2010","Sand/gravel/dirt","Overcast, cloudy but no precipitation",2,3,0
"January","2010","Sand/gravel/dirt","Raining",0,0,0
"January","2010","Sand/gravel/dirt","Snowing, not including drifting snow",0,0,0
"January","2010","Sand/gravel/dirt","Freezing rain, sleet, hail",0,0,0
"January","2010","Sand/gravel/dirt","Visibility limitation",1,1,0
"January","2010","Sand/gravel/dirt","Strong wind",0,0,0
"January","2010","Sand/gravel/dirt","Other",0,0,0
"January","2010","Sand/gravel/dirt","Unknown",0,0,0
"January","2010","Muddy","Clear and sunny",2,2,0
"January","2010","Muddy","Overcast, cloudy but no precipitation",1,1,0
"January","2010","Muddy","Raining",0,0,0
"January","2010","Muddy","Snowing, not including drifting snow",0,0,0
"January","2010","Muddy","Freezing rain, sleet, hail",0,0,0
"January","2010","Muddy","Visibility limitation",0,0,0
"January","2010","Muddy","Strong wind",0,0,0
"January","2010","Muddy","Other",0,0,0
"January","2010","Muddy","Unknown",0,0,0
"January","2010","Oil","Clear and sunny",0,0,0
"January","2010","Oil","Overcast, cloudy but no precipitation",0,0,0
"January","2010","Oil","Raining",0,0,0
"January","2010","Oil","Snowing, not including drifting snow",0,0,0
"January","2010","Oil","Freezing rain, sleet, hail",0,0,0
"January","2010","Oil","Visibility limitation",0,0,0
"January","2010","Oil","Strong wind",0,0,0
"January","2010","Oil","Other",0,0,0
"January","2010","Oil","Unknown",0,0,0
"January","2010","Flooded","Clear and sunny",0,0,0
"January","2010","Flooded","Overcast, cloudy but no precipitation",0,0,0
"January","2010","Flooded","Raining",0,0,0
"January","2010","Flooded","Snowing, not including drifting snow",0,0,0
"January","2010","Flooded","Freezing rain, sleet, hail",0,0,0
"January","2010","Flooded","Visibility limitation",0,0,0
"January","2010","Flooded","Strong wind",0,0,0
"January","2010","Flooded","Other",0,0,0
"January","2010","Flooded","Unknown",0,0,0
"January","2010","Other","Clear and sunny",510,666,7
"January","2010","Other","Overcast, cloudy but no precipitation",5,6,1
"January","2010","Other","Raining",5,7,0
"January","2010","Other","Snowing, not including drifting snow",185,260,3
"January","2010","Other","Freezing rain, sleet, hail",11,16,0
"January","2010","Other","Visibility limitation",19,27,3
"January","2010","Other","Strong wind",8,11,0
"January","2010","Other","Other",15,17,1
"January","2010","Other","Unknown",16,19,2
"January","2010","Unknown","Clear and sunny",34,35,0
"January","2010","Unknown","Overcast, cloudy but no precipitation",4,4,0
"January","2010","Unknown","Raining",3,3,0
"January","2010","Unknown","Snowing, not including drifting snow",5,8,0
"January","2010","Unknown","Freezing rain, sleet, hail",3,5,0
"January","2010","Unknown","Visibility limitation",1,4,0
"January","2010","Unknown","Strong wind",2,5,0
"January","2010","Unknown","Other",1,2,0
"January","2010","Unknown","Unknown",106,120,0
"January","2011","Dry, normal","Clear and sunny",2321,3194,29
"January","2011","Dry, normal","Overcast, cloudy but no precipitation",307,408,4
"January","2011","Dry, normal","Raining",6,9,0
"January","2011","Dry, normal","Snowing, not including drifting snow",10,14,0
"January","2011","Dry, normal","Freezing rain, sleet, hail",1,1,0
"January","2011","Dry, normal","Visibility limitation",10,13,1
"January","2011","Dry, normal","Strong wind",7,8,0
"January","2011","Dry, normal","Other",8,12,0
"January","2011","Dry, normal","Unknown",9,10,0
"January","2011","Wet","Clear and sunny",1335,1885,12
"January","2011","Wet","Overcast, cloudy but no precipitation",453,610,7
"January","2011","Wet","Raining",416,553,2
"January","2011","Wet","Snowing, not including drifting snow",249,359,2
"January","2011","Wet","Freezing rain, sleet, hail",14,21,0
"January","2011","Wet","Visibility limitation",48,71,0
"January","2011","Wet","Strong wind",3,4,0
"January","2011","Wet","Other",9,12,0
"January","2011","Wet","Unknown",3,5,0
"January","2011","Snow (fresh, loose snow)","Clear and sunny",456,599,5
"January","2011","Snow (fresh, loose snow)","Overcast, cloudy but no precipitation",217,292,0
"January","2011","Snow (fresh, loose snow)","Raining",9,10,0
"January","2011","Snow (fresh, loose snow)","Snowing, not including drifting snow",1107,1501,16
"January","2011","Snow (fresh, loose snow)","Freezing rain, sleet, hail",0,0,0
"January","2011","Snow (fresh, loose snow)","Visibility limitation",98,144,1
"January","2011","Snow (fresh, loose snow)","Strong wind",10,12,1
"January","2011","Snow (fresh, loose snow)","Other",1,1,0
"January","2011","Snow (fresh, loose snow)","Unknown",6,7,1
"January","2011","Slush, wet snow","Clear and sunny",198,263,2
"January","2011","Slush, wet snow","Overcast, cloudy but no precipitation",78,102,0
"January","2011","Slush, wet snow","Raining",19,23,0
"January","2011","Slush, wet snow","Snowing, not including drifting snow",233,344,2
"January","2011","Slush, wet snow","Freezing rain, sleet, hail",10,12,0
"January","2011","Slush, wet snow","Visibility limitation",12,17,0
"January","2011","Slush, wet snow","Strong wind",2,5,0
"January","2011","Slush, wet snow","Other",1,1,0
"January","2011","Slush, wet snow","Unknown",0,0,0
"January","2011","Icy","Clear and sunny",929,1203,10
"January","2011","Icy","Overcast, cloudy but no precipitation",345,476,2
"January","2011","Icy","Raining",20,25,0
"January","2011","Icy","Snowing, not including drifting snow",515,696,10
"January","2011","Icy","Freezing rain, sleet, hail",31,41,0
"January","2011","Icy","Visibility limitation",98,135,0
"January","2011","Icy","Strong wind",28,32,2
"January","2011","Icy","Other",6,8,0
"January","2011","Icy","Unknown",76,89,0
"January","2011","Sand/gravel/dirt","Clear and sunny",8,8,2
"January","2011","Sand/gravel/dirt","Overcast, cloudy but no precipitation",0,0,0
"January","2011","Sand/gravel/dirt","Raining",0,0,0
"January","2011","Sand/gravel/dirt","Snowing, not including drifting snow",0,0,0
"January","2011","Sand/gravel/dirt","Freezing rain, sleet, hail",0,0,0
"January","2011","Sand/gravel/dirt","Visibility limitation",1,1,0
"January","2011","Sand/gravel/dirt","Strong wind",0,0,0
"January","2011","Sand/gravel/dirt","Other",0,0,0
"January","2011","Sand/gravel/dirt","Unknown",0,0,0
"January","2011","Muddy","Clear and sunny",3,3,0
"January","2011","Muddy","Overcast, cloudy but no precipitation",1,1,0
"January","2011","Muddy","Raining",1,1,0
"January","2011","Muddy","Snowing, not including drifting snow",0,0,0
"January","2011","Muddy","Freezing rain, sleet, hail",0,0,0
"January","2011","Muddy","Visibility limitation",0,0,0
"January","2011","Muddy","Strong wind",0,0,0
"January","2011","Muddy","Other",0,0,0
"January","2011","Muddy","Unknown",0,0,0
"January","2011","Oil","Clear and sunny",0,0,0
"January","2011","Oil","Overcast, cloudy but no precipitation",0,0,0
"January","2011","Oil","Raining",0,0,0
"January","2011","Oil","Snowing, not including drifting snow",0,0,0
"January","2011","Oil","Freezing rain, sleet, hail",0,0,0
"January","2011","Oil","Visibility limitation",0,0,0
"January","2011","Oil","Strong wind",0,0,0
"January","2011","Oil","Other",0,0,0
"January","2011","Oil","Unknown",0,0,0
"January","2011","Flooded","Clear and sunny",0,0,0
"January","2011","Flooded","Overcast, cloudy but no precipitation",0,0,0
"January","2011","Flooded","Raining",0,0,0
"January","2011","Flooded","Snowing, not including drifting snow",0,0,0
"January","2011","Flooded","Freezing rain, sleet, hail",0,0,0
"January","2011","Flooded","Visibility limitation",0,0,0
"January","2011","Flooded","Strong wind",0,0,0
"January","2011","Flooded","Other",0,0,0
"January","2011","Flooded","Unknown",0,0,0
"January","2011","Other","Clear and sunny",647,828,6
"January","2011","Other","Overcast, cloudy but no precipitation",0,0,0
"January","2011","Other","Raining",16,19,1
"January","2011","Other","Snowing, not including drifting snow",470,659,13
"January","2011","Other","Freezing rain, sleet, hail",3,3,0
