
,,,Measures,"Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities"
"Month","Year","Road Alignment","Weather",
"January","2010","Straight and level","Clear and sunny",4166,7746,11765,5726,60
"January","2010","Straight and level","Overcast, cloudy but no precipitation",874,1536,2206,1153,13
"January","2010","Straight and level","Raining",425,723,1113,565,3
"January","2010","Straight and level","Snowing, not including drifting snow",928,1537,2297,1275,8
"January","2010","Straight and level","Freezing rain, sleet, hail",74,109,165,102,2
"January","2010","Straight and level","Visibility limitation",166,299,432,240,4
"January","2010","Straight and level","Strong wind",47,73,104,68,0
"January","2010","Straight and level","Other",23,35,48,24,2
"January","2010","Straight and level","Unknown",38,63,86,44,1
"January","2010","Straight with gradient","Clear and sunny",440,806,1233,615,8
"January","2010","Straight with gradient","Overcast, cloudy but no precipitation",195,348,547,295,4
"January","2010","Straight with gradient","Raining",117,216,327,147,2
"January","2010","Straight with gradient","Snowing, not including drifting snow",145,255,369,200,2
"January","2010","Straight with gradient","Freezing rain, sleet, hail",14,25,36,16,0
"January","2010","Straight with gradient","Visibility limitation",23,36,52,27,0
"January","2010","Straight with gradient","Strong wind",7,11,13,8,0
"January","2010","Straight with gradient","Other",2,3,4,2,0
"January","2010","Straight with gradient","Unknown",12,19,24,14,0
"January","2010","Curved and level","Clear and sunny",351,534,791,472,10
"January","2010","Curved and level","Overcast, cloudy but no precipitation",119,169,252,159,3
"January","2010","Curved and level","Raining",61,86,134,84,1
"January","2010","Curved and level","Snowing, not including drifting snow",200,287,450,276,7
"January","2010","Curved and level","Freezing rain, sleet, hail",20,23,30,24,1
"January","2010","Curved and level","Visibility limitation",32,40,52,40,1
"January","2010","Curved and level","Strong wind",8,14,22,9,0
"January","2010","Curved and level","Other",2,2,2,2,0
"January","2010","Curved and level","Unknown",2,4,6,3,0
"January","2010","Curved with gradient","Clear and sunny",193,274,437,278,4
"January","2010","Curved with gradient","Overcast, cloudy but no precipitation",95,134,183,114,7
"January","2010","Curved with gradient","Raining",41,60,84,54,3
"January","2010","Curved with gradient","Snowing, not including drifting snow",96,130,204,133,1
"January","2010","Curved with gradient","Freezing rain, sleet, hail",10,14,19,14,0
"January","2010","Curved with gradient","Visibility limitation",14,25,35,14,1
"January","2010","Curved with gradient","Strong wind",0,0,0,0,0
"January","2010","Curved with gradient","Other",0,0,0,0,0
"January","2010","Curved with gradient","Unknown",3,4,5,4,0
"January","2010","Top of hill or gradient","Clear and sunny",21,33,51,34,1
"January","2010","Top of hill or gradient","Overcast, cloudy but no precipitation",8,15,25,10,0
"January","2010","Top of hill or gradient","Raining",2,3,3,2,0
"January","2010","Top of hill or gradient","Snowing, not including drifting snow",6,8,20,16,0
"January","2010","Top of hill or gradient","Freezing rain, sleet, hail",2,2,2,2,0
"January","2010","Top of hill or gradient","Visibility limitation",4,4,6,4,0
"January","2010","Top of hill or gradient","Strong wind",1,1,4,1,0
"January","2010","Top of hill or gradient","Other",0,0,0,0,0
"January","2010","Top of hill or gradient","Unknown",1,1,1,1,0
"January","2010","Bottom of hill or gradient","Clear and sunny",19,30,50,29,1
"January","2010","Bottom of hill or gradient","Overcast, cloudy but no precipitation",3,4,5,3,0
"January","2010","Bottom of hill or gradient","Raining",4,6,10,6,0
"January","2010","Bottom of hill or gradient","Snowing, not including drifting snow",6,11,16,8,0
"January","2010","Bottom of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"January","2010","Bottom of hill or gradient","Visibility limitation",0,0,0,0,0
"January","2010","Bottom of hill or gradient","Strong wind",0,0,0,0,0
"January","2010","Bottom of hill or gradient","Other",0,0,0,0,0
"January","2010","Bottom of hill or gradient","Unknown",0,0,0,0,0
"January","2010","Other","Clear and sunny",20,33,44,23,0
"January","2010","Other","Overcast, cloudy but no precipitation",22,33,43,27,0
"January","2010","Other","Raining",1,2,2,1,0
"January","2010","Other","Snowing, not including drifting snow",8,12,14,10,0
"January","2010","Other","Freezing rain, sleet, hail",2,2,2,2,0
"January","2010","Other","Visibility limitation",3,3,4,4,0
"January","2010","Other","Strong wind",1,1,1,1,0
"January","2010","Other","Other",1,2,2,2,0
"January","2010","Other","Unknown",5,6,10,6,0
"January","2010","Unknown","Clear and sunny",370,678,1024,462,3
"January","2010","Unknown","Overcast, cloudy but no precipitation",29,54,86,41,0
"January","2010","Unknown","Raining",22,33,58,30,1
"January","2010","Unknown","Snowing, not including drifting snow",70,131,207,90,1
"January","2010","Unknown","Freezing rain, sleet, hail",5,12,21,5,0
"January","2010","Unknown","Visibility limitation",7,9,16,9,2
"January","2010","Unknown","Strong wind",1,1,1,1,0
"January","2010","Unknown","Other",4,8,9,6,0
"January","2010","Unknown","Unknown",91,166,233,107,1
"January","2011","Straight and level","Clear and sunny",4463,8334,12231,6042,41
"January","2011","Straight and level","Overcast, cloudy but no precipitation",967,1778,2553,1306,9
"January","2011","Straight and level","Raining",314,517,780,411,3
"January","2011","Straight and level","Snowing, not including drifting snow",1660,2926,4365,2295,28
"January","2011","Straight and level","Freezing rain, sleet, hail",42,61,95,55,0
"January","2011","Straight and level","Visibility limitation",178,292,419,254,2
"January","2011","Straight and level","Strong wind",54,81,129,71,3
"January","2011","Straight and level","Other",37,72,105,47,1
"January","2011","Straight and level","Unknown",80,141,185,89,0
"January","2011","Straight with gradient","Clear and sunny",438,813,1187,619,10
"January","2011","Straight with gradient","Overcast, cloudy but no precipitation",124,216,325,167,3
"January","2011","Straight with gradient","Raining",82,144,221,104,0
"January","2011","Straight with gradient","Snowing, not including drifting snow",237,399,614,338,2
"January","2011","Straight with gradient","Freezing rain, sleet, hail",6,9,10,6,0
"January","2011","Straight with gradient","Visibility limitation",22,32,54,33,0
"January","2011","Straight with gradient","Strong wind",5,5,9,5,0
"January","2011","Straight with gradient","Other",3,10,17,7,0
"January","2011","Straight with gradient","Unknown",3,6,7,3,0
"January","2011","Curved and level","Clear and sunny",375,585,827,493,10
"January","2011","Curved and level","Overcast, cloudy but no precipitation",126,169,247,160,0
"January","2011","Curved and level","Raining",27,36,66,38,0
