Year,Month,DayofWeek,HourRange,CountofCollisions,NoofFatalities,CountofInjuryCollsn,CountOfPedestrianCollsn,CountofFatalityCollsn
2014,April,Friday,Early Afternoon,133,0,11,5,0
2014,April,Friday,Early Morning,9,0,4,1,0
2014,April,Friday,Evening,77,0,10,1,0
2014,April,Friday,Late Afternoon,176,0,21,4,0
2014,April,Friday,Late Night,11,0,3,0,0
2014,April,Friday,Mid Morning,97,0,10,2,0
2014,April,Friday,Morning Rush,69,0,8,0,0
2014,April,Friday,Night,45,0,9,6,0
2014,April,Monday,Early Afternoon,122,0,23,1,0
2014,April,Monday,Early Morning,2,0,0,0,0
2014,April,Monday,Evening,81,0,14,3,0
2014,April,Monday,Late Afternoon,143,0,16,1,0
2014,April,Monday,Late Night,6,0,0,0,0
2014,April,Monday,Mid Morning,116,0,16,5,0
2014,April,Monday,Morning Rush,75,0,7,1,0
2014,April,Monday,Night,34,0,8,1,0
2014,April,Saturday,Early Afternoon,148,0,17,1,0
2014,April,Saturday,Early Morning,9,0,2,1,0
2014,April,Saturday,Evening,74,0,12,0,0
2014,April,Saturday,Late Afternoon,159,0,21,3,0
2014,April,Saturday,Late Night,18,0,3,2,0
2014,April,Saturday,Mid Morning,102,0,17,2,0
2014,April,Saturday,Morning Rush,27,0,4,0,0
2014,April,Saturday,Night,45,0,4,0,0
2014,April,Sunday,Early Afternoon,107,0,12,0,0
2014,April,Sunday,Early Morning,8,0,1,1,0
2014,April,Sunday,Evening,53,0,7,4,0
2014,April,Sunday,Late Afternoon,105,0,17,4,0
2014,April,Sunday,Late Night,18,0,5,2,0
2014,April,Sunday,Mid Morning,73,0,11,1,0
2014,April,Sunday,Morning Rush,14,0,1,0,0
2014,April,Sunday,Night,31,0,5,1,0
2014,April,Thursday,Early Afternoon,116,0,14,2,0
2014,April,Thursday,Early Morning,2,0,0,0,0
2014,April,Thursday,Evening,87,0,10,2,0
2014,April,Thursday,Late Afternoon,186,0,20,5,0
2014,April,Thursday,Late Night,6,0,0,0,0
2014,April,Thursday,Mid Morning,148,0,15,3,0
2014,April,Thursday,Morning Rush,84,0,12,4,0
2014,April,Thursday,Night,39,0,8,3,0
2014,April,Tuesday,Early Afternoon,163,0,23,5,0
2014,April,Tuesday,Early Morning,6,0,2,0,0
2014,April,Tuesday,Evening,88,0,11,6,0
2014,April,Tuesday,Late Afternoon,220,0,27,6,0
2014,April,Tuesday,Late Night,7,0,0,0,0
2014,April,Tuesday,Mid Morning,155,0,25,4,0
2014,April,Tuesday,Morning Rush,106,0,12,4,0
2014,April,Tuesday,Night,37,0,8,2,0
2014,April,Wednesday,Early Afternoon,163,0,25,6,0
2014,April,Wednesday,Early Morning,8,0,3,1,0
2014,April,Wednesday,Evening,122,0,12,1,0
2014,April,Wednesday,Late Afternoon,273,1,34,13,1
2014,April,Wednesday,Late Night,9,0,2,0,0
2014,April,Wednesday,Mid Morning,157,0,15,6,0
2014,April,Wednesday,Morning Rush,126,0,23,5,0
2014,April,Wednesday,Night,49,0,9,2,0
2014,August,Friday,Early Afternoon,203,0,34,4,0
2014,August,Friday,Early Morning,13,0,2,0,0
2014,August,Friday,Evening,143,0,29,5,0
2014,August,Friday,Late Afternoon,224,1,23,5,1
2014,August,Friday,Late Night,28,0,9,1,0
2014,August,Friday,Mid Morning,117,0,16,7,0
2014,August,Friday,Morning Rush,64,0,8,3,0
2014,August,Friday,Night,78,0,18,2,0
2014,August,Monday,Early Afternoon,105,0,19,0,0
2014,August,Monday,Early Morning,13,0,3,1,0
2014,August,Monday,Evening,79,0,17,4,0
2014,August,Monday,Late Afternoon,156,0,23,5,0
2014,August,Monday,Late Night,21,1,5,1,1
2014,August,Monday,Mid Morning,81,0,12,2,0
2014,August,Monday,Morning Rush,55,0,15,1,0
2014,August,Monday,Night,47,0,10,3,0
2014,August,Saturday,Early Afternoon,163,0,23,5,0
2014,August,Saturday,Early Morning,25,2,2,2,1
2014,August,Saturday,Evening,81,0,11,3,0
2014,August,Saturday,Late Afternoon,173,0,33,1,0
2014,August,Saturday,Late Night,34,0,8,5,0
2014,August,Saturday,Mid Morning,116,0,19,4,0
2014,August,Saturday,Morning Rush,21,0,3,0,0
2014,August,Saturday,Night,75,0,12,5,0
2014,August,Sunday,Early Afternoon,125,0,20,1,0
2014,August,Sunday,Early Morning,17,0,2,0,0
2014,August,Sunday,Evening,85,0,15,3,0
2014,August,Sunday,Late Afternoon,155,0,16,1,0
2014,August,Sunday,Late Night,41,0,4,0,0
2014,August,Sunday,Mid Morning,70,0,13,0,0
2014,August,Sunday,Morning Rush,31,0,6,3,0
2014,August,Sunday,Night,67,1,13,3,1
2014,August,Thursday,Early Afternoon,147,0,25,6,0
2014,August,Thursday,Early Morning,8,0,2,0,0
2014,August,Thursday,Evening,112,0,18,1,0
2014,August,Thursday,Late Afternoon,191,1,26,3,1
2014,August,Thursday,Late Night,14,0,6,1,0
2014,August,Thursday,Mid Morning,107,0,17,0,0
2014,August,Thursday,Morning Rush,75,0,19,1,0
2014,August,Thursday,Night,51,1,10,3,1
2014,August,Tuesday,Early Afternoon,143,0,14,2,0
2014,August,Tuesday,Early Morning,9,0,2,0,0
2014,August,Tuesday,Evening,109,0,14,3,0
2014,August,Tuesday,Late Afternoon,182,0,24,2,0
2014,August,Tuesday,Late Night,11,0,2,0,0
2014,August,Tuesday,Mid Morning,98,0,14,1,0
2014,August,Tuesday,Morning Rush,85,0,12,2,0
2014,August,Tuesday,Night,40,0,16,6,0
2014,August,Wednesday,Early Afternoon,138,0,19,3,0
2014,August,Wednesday,Early Morning,4,0,3,0,0
2014,August,Wednesday,Evening,112,0,19,5,0
2014,August,Wednesday,Late Afternoon,163,1,25,4,1
2014,August,Wednesday,Late Night,13,0,1,0,0
2014,August,Wednesday,Mid Morning,124,0,19,4,0
2014,August,Wednesday,Morning Rush,80,0,13,2,0
2014,August,Wednesday,Night,46,0,12,1,0
2014,December,Friday,Early Afternoon,187,1,25,10,1
2014,December,Friday,Early Morning,6,0,0,0,0
2014,December,Friday,Evening,106,1,15,9,1
2014,December,Friday,Late Afternoon,198,1,24,6,1
2014,December,Friday,Late Night,20,0,6,1,0
2014,December,Friday,Mid Morning,112,0,11,1,0
2014,December,Friday,Morning Rush,83,0,8,4,0
2014,December,Friday,Night,56,0,11,2,0
2014,December,Monday,Early Afternoon,181,0,19,6,0
